participant_id,age,av_disclose_performance,av_reduce_injuries,av_report_safety,av_school_zone,av_share_data,av_speed_limit,av_two_drivers,bikegph_member,bikepgh_position,bikepgh_should_advocate,elaborate_bikepgh_position,end_date,familiar_av_tech,feel_safe_avs,feel_safe_cars,herzberg_death_change_opinion,interacted_av_biking,interacted_av_walking,interaction_details,negative_av_interaction,other_av_regulations,other_comments,own_car,own_smartphone,paying_attention_av_news,positive_av_interaction,regulate_av_testing,start_date,thoughts_pgh_av_testing,year,zipcode
10,,,Yes,,Not sure,Yes,Not sure,,,Neither Support nor Oppose,Disagree,"I think there's a MUCH bigger issue with human drivers who don't yield to pedestrians and are aggressive toward cyclists. Remain neutral on AVs for now, but continue to keep watch and take action should a real issue arise. So far, I'm not aware of any problems and Uber seems to have taken steps to ensure safety by having a human operator behind the wheel at all times. I'd much rather cross the street in front of an AV than a typical Pittsburgh motorist.",02/22/2017 10:46:22 AM PST,Mostly Unfamiliar,4.0,2.0,,No,Yes,"See them often when walking in The Strip, Downtown, and South Side.",,none,,,,To some extent,,Yes,02/22/2017 10:38:27 AM PST,Approve,2017,15203
11,,,Yes,,No,No,No,,,Actively Support,Neutral,"I was fearful at first when I heard they would be operating on city streets but after being around them and observing them for a few months, I feel safer around an autonomous vehicle than a human driven one. No road rage, no distractions and no speeding!",02/22/2017 10:44:04 AM PST,Mostly Unfamiliar,4.0,3.0,,Yes,Yes,Passing me while riding my bike on the streets. They drive way slower than human driven vehicles!,,Nope,,,,To a large extent,,Not sure,02/22/2017 10:39:30 AM PST,Approve,2017,15201
12,,,Yes,,Not sure,Not sure,Not sure,,,No Opinion,Neutral,"I think AVs are likely to reduce the total number of accidents on the roads, but I don't know what to expect for the AV-bike interaction. So I think it's probably overall superior to have AVs rather than not, but I can't speak to the particular bike thing.",02/22/2017 10:50:12 AM PST,Somewhat familiar,4.0,4.0,,Yes,No,"I have biked past a stopped AV at a light, and I think I have had an AV pass me while I was biking.",,AVs should have an internal emergency stop button for the passenger to push.,"I think they're coming, and I think that's overall a good thing. That said, it's a good idea to advocate for bicyclist and pedestrian safety with the companies themselves (could work, could not) and with the government which might decide it wants to regulate them.",,,To a moderate extent,,Yes,02/22/2017 10:43:13 AM PST,Somewhat Approve,2017,15224
13,,,Maybe,,No,Yes,Not sure,,,No Opinion,Agree,,02/22/2017 10:50:04 AM PST,Somewhat familiar,3.0,3.0,,No,Yes,no problems. It's hard to know if AV cars are being driven by people or by robot. I have twice seen AV cars making turn signal errors (but can't say whether they were under the control of human or robot at the time). And turn signal problems (esp. LACK of turn signals) is a major problem with human drivers.,,"I would like to know IF and WHEN a car is driven autonomously. Like a taxi-cab rooftop light to indicate a robot, not a human, is currently driving. Would be useful for other cars and people. Also, it's hard to assess true AV performance without that visible info.",,,,To a moderate extent,,Yes,02/22/2017 10:44:16 AM PST,Somewhat Approve,2017,15224
14,,,No,,Yes,Yes,Yes,,,Actively Oppose,Agree,Av will only work with no human interaction due to unpredictable nature of humans. I just don't see how this is possible without getting rid of bicycles pedestrians and other drivers.,02/22/2017 10:56:06 AM PST,Somewhat familiar,1.0,4.0,,No,No,,,Ban the use of av,Should be banned,,,To a moderate extent,,Yes,02/22/2017 10:51:01 AM PST,Disapprove,2017,15102
15,,,Yes,,Not sure,Yes,No,,,Actively Support,Agree,"I feel much safer on the streets (driving, cycling, walking, or running) with Autonomous Vehicles than with 90% of the people I see driving distracted, speeding, swerving, etc.",02/22/2017 10:53:35 AM PST,Somewhat familiar,4.0,2.0,,No,Yes,Just crossing the street at a light.  The AV did everything it should have. No issues,,Not yet,,,,To a large extent,,No,02/22/2017 10:51:10 AM PST,Approve,2017,15211
16,,,Yes,,No,Yes,Yes,,,Neither Support nor Oppose,Agree,"This is tough because while I believe there is real potential for this technology to save lives and improve conditions for users of all modes, the reality is that it is primarily driven (har har) by private companies that have no real accountability or interest in the public good beyond what they need to do to make money. Unfortunately supporting the technology in the abstract often means tacitly supporting these particular companies and their business practices. I don't think Bike Pittsburgh should oppose the technology but I'm not sure I'm comfortably with full-throated active support either. Sorry...that's probably a nonhelpful nonanswer.",02/22/2017 10:57:42 AM PST,Extremely familiar,3.0,2.0,,Yes,Yes,In general I've noticed that AV tend to operate more slowly and carefully than normal vehicles. They tend to accelerate more slowly off of green lights and stop signs and stop at yellow lights far more frequently than normal vehicles with human drivers. I would say overall I have observed a level of caution that I often don't observe with human drivers.,,This is a big one...but I think this industry should be nationalized and AVs should be treated as a form of public transportation :),"I'd like to see some efforts in Pittsburgh to make this technology a public good and launch a ""public option"" like Austin and some other cities are experimenting with. If we're going to be the birthplace and proving ground of the technology we can and should also be the birthplace and proving ground of its application to the public good.",,,To a large extent,,Yes,02/22/2017 10:52:03 AM PST,Somewhat Approve,2017,15201
17,,,Yes,,No,No,Not sure,,,Neither Support nor Oppose,Strongly Disagree,BikePGH seems to be an incredibly organized group.  I think they should use some of this public sway to reach out to and better educate non-member bicyclists on the city streets and sidewalks,02/22/2017 10:57:25 AM PST,Mostly Unfamiliar,4.0,3.0,,No,Yes,"Everything was fine.  This happened twice at intersections while I was walking.  The AV ""exercised"" very much unlike the cyclists I encounter daily.  The AV stopped appropriately and was not in the crosswalk, etc.",,Make sure bicyclists use the bike lanes instead of sidewalks.,,,,To a large extent,,No,02/22/2017 10:52:33 AM PST,Approve,2017,15212
18,,,,,,,,,,,,,02/24/2017 11:00:23 AM PST,,,,,,,,,,,,,,,,02/22/2017 10:56:19 AM PST,,2017,
19,,,Yes,,Not sure,Yes,Yes,,,Neither Support nor Oppose,Neutral,,02/22/2017 11:01:26 AM PST,Mostly familiar,3.0,4.0,,No,Yes,Normal interaction.,,None,,,,To a large extent,,Yes,02/22/2017 10:59:21 AM PST,Neutral,2017,15208
20,,,Yes,,No,No,No,,,Actively Support,Agree,AVs are safer than human drivers.  They can't be distracted and have a higher amount of visual awareness through sensors than a regular car.  They can see bicycles and pedestrians BEFORE a human can.,02/22/2017 11:11:11 AM PST,Extremely familiar,4.0,2.0,,Yes,Yes,,,No,,,,To a large extent,,No,02/22/2017 11:09:02 AM PST,Approve,2017,15216
21,,,,,,,,,,,,,02/24/2017 11:25:23 AM PST,,,,,,,,,,,,,,,,02/22/2017 11:19:30 AM PST,,2017,
22,,,Yes,,No,No,No,,,Actively Support,Strongly Disagree,AVs have the potential to be much safer than human drivers.  BikePGH should support these efforts and Pittsburgh's leadership in this area.,02/22/2017 11:27:04 AM PST,Mostly familiar,5.0,2.0,,Yes,Yes,The AV drove better and more cautiously than most human drivers.,,No,No,,,To a moderate extent,,No,02/22/2017 11:22:21 AM PST,Approve,2017,15203
23,,,Yes,,No,Yes,Yes,,,Neither Support nor Oppose,Disagree,AVs often travel at slower speeds than the prevailing car traffic and take longer to make turns. They are more of a nuisance for drivers than for bikers and walkers.,02/22/2017 11:26:39 AM PST,Somewhat familiar,4.0,3.0,,Not sure,Yes,No problem.,,No,,,,To some extent,,Yes,02/22/2017 11:23:48 AM PST,Neutral,2017,15217
24,,,Yes,,No,Yes,Yes,,,Actively Support,Disagree,"The cycling community needs to be one of the strongest advocates for autonomous vehicles. It is literally the most realistic and impactful improvement to safety that our transportation network can experience within the next decade. Imagine streets without parked cars everywhere all converted into bicycle lanes (no need for protected anymore) and wider sidewalks. The most important thing about AVs are their ability to make our urban transportation network safer, and if you are against that then you aren't a true bike advocate.",02/22/2017 11:44:28 AM PST,Extremely familiar,5.0,2.0,,No,Yes,The AVs actually drive closer to the double yellow lines in the middle of the road than human drivers. They provide more space between them and the sidewalk or line of parked cars or bike lanes than human drivers do. They also don't turn right across a pedestrian cross walk with an actual pedestrian in it. All around safer in the crosswalk than a human driver.,,"If we put regulations on the wright bros before their first successful flight in North Carolina, we would't have the global society we have today.",,,,To a large extent,,Not sure,02/22/2017 11:33:26 AM PST,Approve,2017,15206
25,,,Yes,,Not sure,Yes,Not sure,,,Actively Support,Agree,"With proper testing, AVs should be safer than traditional drivers. The safety of pedestrians and bikers should be a priority for them",02/22/2017 11:39:01 AM PST,Somewhat familiar,4.0,3.0,,Yes,Not sure,I've biked on streets while AVs passed me in the opposite direction in the opposite lane...following all rules and patterns. The vehicle behaved just like any other vehicle,,,,,,To some extent,,Yes,02/22/2017 11:34:06 AM PST,Approve,2017,15208
26,,,Yes,,Not sure,Not sure,No,,,Neither Support nor Oppose,Agree,Focus on how AV's interact with Bikes and Peds to make thing safer.,02/22/2017 11:37:56 AM PST,Somewhat familiar,4.0,2.0,,Yes,No,AV waited behind at a safe distance while riding in the strip. Would not pass. Seemed overly cautious.,,no,,,,To a large extent,,Yes,02/22/2017 11:34:37 AM PST,Somewhat Approve,2017,15221
27,,,Yes,,No,Yes,No,,,Actively Support,Neutral,Bike Pittsburgh should advocate for bike and pedestrian safely in testing of AV's.,02/22/2017 12:43:04 PM PST,Mostly familiar,4.0,1.0,,No,Yes,"In business districts with sidewalk dining adjacent to the curb and no on-street parking, AV's feel as if they are traveling too fast. They may be obeying the speed limit, so the speed limit in business districts should be 20 mph rather than 25 mph. This observation is for Walnut Street.",,Sharing of non-personal data should be a priority.,AV's have the potential to decrease traffic fatalities and crashes due to inattentive drivers. They may also free up street space for more people-focused infrastructure. And parking. We can eliminate off-street parking requirements.,,,To a large extent,,Yes,02/22/2017 11:38:09 AM PST,Approve,2017,15232
28,,,Yes,,Yes,Yes,No,,,Neither Support nor Oppose,Disagree,"I'm not sure if this is a suppose/oppose issue for BikePGH, it might be a ""push for safer streets"" overall initiative.",02/22/2017 11:43:25 AM PST,Extremely familiar,4.0,2.0,,Yes,Yes,"The AV performed as expected. It didn't turn into the bike lane (Penn Ave, Downtown) as I rode through. The same goes for any experiences I've had passing them as a pedestrian. In fact, I typically feel safer when they're about to turn into the crosswalk than most human drivers, who approach the crosswalk way too quickly and get too close.",,,,,,To a large extent,,Not sure,02/22/2017 11:39:57 AM PST,Approve,2017,15232
29,,,Yes,,No,No,No,,,Actively Support,Neutral,,02/22/2017 11:45:32 AM PST,Mostly familiar,5.0,3.0,,No,Yes,"I routinely see the Uber autonomous vehicles when walking around CMU and Oakland.  In my experience, the vehicles respond better to pedestrians (including those jaywalking and crossing against the light) than many human drivers do.",,,,,,To a moderate extent,,Yes,02/22/2017 11:43:05 AM PST,Approve,2017,15213
30,,,Yes,,No,Yes,No,,,Actively Support,Agree,"I am on the edge of this only because the AV scene in PGH is so heavily dominated by Uber in the present and the associated political challenges a single corporation with such recent stains to its reputation can have.  Support a monopoly on AV tech in PGH and unilateral decision making? Heck no. Support AV as the future and a technology that will almost certainly revolutionize urban planning, our day-to-day lives, and increase overall transit safety? I believe, absolutely yes.",02/22/2017 12:07:27 PM PST,Mostly familiar,4.0,3.0,,Yes,Yes,"I ride through the Strip commuting to work and encounter Uber's AVs daily. While before it would be maybe two each way, with the recent fleet upgrade to the new Volvos and Uber's expansion to establish a campus of buildings, I seem to pass half a dozen each way.  I have yet to feel uncomfortable around their AVs — my most worrisome is not knowing if the car is in control or if the operator has overridden and how that conflict may result. I am unaware of their policies and protocols for operating their AV fleet, but it seems like they are being very cautious at the present; this is welcome as it calms other, human-operated vehicles.",,"Getting the LIDAR data and localized topography would be so helpful in planning in general and specifically green stormwater infrastructure. In an ideal world, Uber's software or components therein would be open source to help development, prevent exploits, and promote competition.",,,,To a moderate extent,,Not sure,02/22/2017 11:53:25 AM PST,Somewhat Approve,2017,15201
31,,,Yes,,Yes,Yes,Yes,,,Actively Support,Agree,"The potential to reduce injury and death is great, and input from a community (cyclists, pedestrians) is necessary to ensure all bases are covered.",02/22/2017 12:05:14 PM PST,Mostly Unfamiliar,3.0,2.0,,No,Yes,"Was crossing the street with the cross signal.  AV was turning right (perhaps they had an arrow while I also had a signal?). Noticed the vehicle turning toward me, expected it to slow/stop, expected the driver to intervene, but instead I was forced to stop to prevent getting hit.",,,,,,To some extent,,Yes,02/22/2017 11:57:38 AM PST,Neutral,2017,15224
32,,,Maybe,,Yes,Yes,Yes,,,Neither Support nor Oppose,Strongly Agree,Bike PGH is about safe streets for all. I believe this is within the membership's interest to encourage safety first when experimenting on our public spaces,02/22/2017 12:14:05 PM PST,Mostly Unfamiliar,2.0,4.0,,Yes,Yes,"As a cyclist, the car passed with a couple feet at traffic speed -- not four feet as is state law. As a pedestrian, I have one memory of the car trying to take a right when it was a for way crosswalk signal and so it shouldn't take a right on red.",,Always have a driver who can be pulled over for the AV,Terminator. Just sayin .....,,,To some extent,,Yes,02/22/2017 12:07:51 PM PST,Somewhat Disapprove,2017,15219
33,,,Yes,,No,Not sure,No,,,Neither Support nor Oppose,Neutral,"I think BikePGH can work with AV developers to help gather data. In order for AV technology to be viable, those cars will need to learn how to interact with people who ride bikes.",02/22/2017 12:25:47 PM PST,Somewhat familiar,4.0,3.0,,Yes,No,"Between 8:00 AM and 8:30 AM on Sunday, February 19th, I rode down Penn Ave in the Strip District. I was in the right lane and an AV passed me in the left lane. It felt no different than any other car on the rode. Unremarkable, to be honest.",,,"FWIW, I think they're cool and I'm glad Pittsburgh gets to pilot these vehicles. In the case of Uber, I wish the company would be better about treating human drivers like employees and not disposable contractors. It's hard for me to enjoy the groundbreaking driverless car technology when I know the people driving Uber X could be earing tips and/or higher wages. Also, I wish Uber could help the city's planning department by sharing data. Showing how people move around the region could be helpful for how we design our transportation network. By the same token, I hate when local elected officials try and score populist political points by issuing hard hitting statements against Uber. I'm progressive/socialist as they come, but on balance, I think the company is enhancing the region...so we should make are criticisms wisely.",,,To a moderate extent,,No,02/22/2017 12:12:48 PM PST,Approve,2017,15206
34,,,Yes,,No,Yes,No,,,Actively Support,Neutral,"AV remove human error from the equation, making bicyclists and pedestrians safer. We should embrace AVs and work with AV companies to make streets safer for all.",02/22/2017 12:33:06 PM PST,Somewhat familiar,5.0,3.0,,Yes,Yes,"They are more predictable than a human-driven automobile. They always stop at stop signs, obey speed limits, and use their turn signals, which is more than I can say about most drivers in Pittsburgh.",,"We should limit regulations on AVs until we have data to support the regulations. Premature policy could hinder the advancement of AV technology, and there have been no accidents that indicate the need for additional regulation.","Please do not blindly oppose AVs. They have so much potential to make streets safer and more efficient. We should embrace this tremendous opportunity in Pittsburgh and work with rather than demonize AV companies. The impending Ford AV project may change my opinion, but from what I have seen from Uber, I am incredibly impressed with how well AVs have functioned thus far.",,,To a moderate extent,,No,02/22/2017 12:17:09 PM PST,Approve,2017,15206
35,,,Maybe,,Yes,Yes,Yes,,,Neither Support nor Oppose,Agree,"It's a tricky subject with probably long-term benefits for Bikes and Peds, but the politics of it can be negative for the org.",02/22/2017 12:28:54 PM PST,Somewhat familiar,3.0,3.0,,Not sure,Yes,The few times I've interacted have largely been positive and safe.,,,,,,To a moderate extent,,Yes,02/22/2017 12:26:36 PM PST,Somewhat Disapprove,2017,15206
36,,,Yes,,No,Yes,No,,,Actively Support,Disagree,,02/22/2017 12:34:57 PM PST,Somewhat familiar,4.0,3.0,,Not sure,Not sure,,,,,,,To some extent,,Not sure,02/22/2017 12:31:40 PM PST,Approve,2017,15212
37,,,Maybe,,Not sure,Yes,Yes,,,Neither Support nor Oppose,Agree,"AVs are still vehicles on the road the same as human driven vehicles, cars and bicycles a like. It's important that cyclists and pedestrians have a voice at the table, but it would be silly to voice support or disapproval as the only paths.",02/22/2017 12:39:12 PM PST,Mostly familiar,3.0,2.0,,No,Yes,"as a pedestrian interaction, it has been primarily at stop lights. They are better at actually stopping at red lights, and don't try to make ""pittsburgh lefts"". Most times making a right turn across a crosswalk they hesitate appropriately, or the driver/observer inside has motioned to cross. A few times they have approached awfully closely, unsure if this is a failure in detection, or a time of manual driving leading to bad habits.",,,They obey the speed limit! It's great! I can't count how many times they go at 25mph over the 31st bridge with a long line of human driven vehicles behind them. Much safer.,,,To a moderate extent,,Yes,02/22/2017 12:32:29 PM PST,Neutral,2017,15212
38,,,Maybe,,Not sure,Yes,Yes,,,Neither Support nor Oppose,Neutral,"AVs should be recognized as potential replacements for owner-occupant vehicles.  However, AVs --- and, relatedly, jitney apps like Uber, Lyft, etc --- cannot be replacements for transit services.  While cities may wish to provide space for developers to operate and develop their systems, scarce resources should prioritize improving public transportation services and safe road space for all users, not privately operated vehicles.",02/22/2017 12:44:47 PM PST,Mostly Unfamiliar,2.0,2.0,,Not sure,No,,,,,,,To little extent,,Yes,02/22/2017 12:34:07 PM PST,Somewhat Disapprove,2017,15219
39,,,Yes,,Not sure,Yes,Yes,,,Actively Support,Agree,"AVs can save so many lives as we fight for vision zero. However any structures or businesses which operate under capitalism are going to exploit workers, and we must do our due diligence to make sure AV companies are doing as much as they can to support the public through investing back in good infrastructure and sharing their data as open source information. Make it public!",02/22/2017 12:41:44 PM PST,Somewhat familiar,4.0,4.0,,Yes,Yes,"It looked funny, but seemed to act in line with the rest of the vehicles on the road.",,There should be an AV tax which fuels money from their profit back into the streets and the people who live here and use them.,I think it's cool that Pittsburgh was chosen because it is a touch city to conquer. More power to the cyclists!,,,To a large extent,,Yes,02/22/2017 12:34:23 PM PST,Neutral,2017,15224
40,,,Maybe,,Yes,Yes,Not sure,,,No Opinion,Agree,,02/22/2017 12:47:05 PM PST,Mostly Unfamiliar,4.0,3.0,,Yes,No,"I bike almost daily on Smallman and Penn Ave. so I frequently find myself amongst AV on the streets.  I have never had a negative experience and in fact observed they do a better job passing me with both acceleration and distance then most human drives.  Human drivers tend to show more signs of being nervous when passing, and the AV has actually been very controlled and predictable so I have no complaints on my end.  I have heard conflicting verbal reports from pedestrians that have witness the AV not yield in a pedestrian crosswalk.  Once again, my experiences have been positive as a bicyclists.",,,,,,To a moderate extent,,Yes,02/22/2017 12:39:55 PM PST,Neutral,2017,15201
41,,,Yes,,Not sure,No,Not sure,,,Neither Support nor Oppose,Disagree,"I think it's important for AVs to treat cyclists and pedestrians safely and follow all traffic laws. In my experience, this is happening. Beyond ensuring that this compliance continues, I think there are better ways to utilize resources.",02/22/2017 12:50:04 PM PST,Mostly Unfamiliar,4.0,3.0,,Yes,Yes,"As a cyclists, AVs pass me with more than enough room in between my car and the bike. They are surprisingly good. As a pedestrian, I have not had any issues with AVs.",,"While I would love to see collaboration in data sharing between AVs and the public sector, I do not think that this should be a requirement.",,,,To a moderate extent,,Yes,02/22/2017 12:44:50 PM PST,Approve,2017,15206
42,,,Yes,,No,Yes,No,,,Actively Support,Strongly Agree,AVs have the opportunity to greatly increase safety and decrease congestion on streets. They can pay attention more closely and react better than any human. And they don't drive drunk after a long night at Caseys on Carson St.,02/22/2017 12:54:27 PM PST,Extremely familiar,4.0,2.0,,Yes,Yes,AVs have always taken the safer and more cautious choice when I have interacted with them. Never an issue.,,,,,,To a large extent,,Yes,02/22/2017 12:51:13 PM PST,Approve,2017,15215
43,,,Yes,,Not sure,Yes,Yes,,,Actively Support,Neutral,"They are safer than stupid human drivers and don't get distracted. However, they are still cars and inflict the same harm to walkable liveable lively cities the same way normal cars do.",02/22/2017 1:05:52 PM PST,Mostly Unfamiliar,5.0,3.0,,Yes,Yes,"One time I was riding on Penn inbound, spotted what I thought was a 'streetview' car like 2 blocks ahead of me. Went full out and used traffic light intervals to catch up by the start of the Penn Ave bike lane. Made faces and waved at the 'camera' on top and kept pace with it until I hit the cultural district, where I passed it due to traffic in the not-bike lane. Also saw a lamborghini that night... Later found out it wasn't streetview and was a self-driver. Mind = blown.  Another time, also on the 2 lane part of Penn in the Strip, inbound, one passed me in the left lane. Did so with care, no sudden accelerations. Felt very safe. Most yinzers couldn't pass a bicycle safely or comfortably at all. Good job Uber.",,"I like the idea of sharing collected data with city planners. They could actively identify and map unsafe areas for cars, peds or bicycles.",,,,To some extent,,Yes,02/22/2017 12:53:47 PM PST,Approve,2017,15220
44,,,Yes,,No,Yes,No,,,Actively Support,Strongly Disagree,"BikePGH's advocacy efforts should be based on specific, concrete facts, not opinions (popular or otherwise). Why are you wasting precious resources on this when AVs have not been a problem, when you could be doing something to actually save the lives of your constituents?",02/22/2017 1:06:26 PM PST,Mostly familiar,5.0,1.0,,Yes,No,"Over many instances, I have had zero negative experiences with AVs. Their novelty should not obscure the fact that they are neither distracted, intoxicated, nor aggressive, unlike the far more numerous human operators I encounter on the roads. If you truly care about cyclists' safety, you would work to minimize the latter, rather than the former.",,Prohibit humans from operating motor vehicles.,,,,To a moderate extent,,Yes,02/22/2017 12:57:01 PM PST,Approve,2017,15217
